id,name,latitude,longitude,type,color
243,Théo MERCIER,48.8588897,2.320041,artist,#3D348B
244,Adrien MISSIKA,48.8588897,2.320041,artist,#3D348B
245,Jonathan MONK,52.6362,-1.1331969,artist,#3D348B
246,Flora MOSCOVICI,48.8588897,2.320041,artist,#3D348B
247,Jean-Luc MOULÈNE,49.2577886,4.031926,artist,#3D348B
248,Maurizio NANNUCCI,43.7698712,11.2555757,artist,#3D348B
249,Olaf NICOLAI,51.4825041,11.9705452,artist,#3D348B
250,Otobong NKANGA,11.8948389,8.5364136,artist,#3D348B
251,Sophie NYS,51.2211097,4.3997081,artist,#3D348B
252,Damir OČKO,45.8426414,15.9622315,artist,#3D348B
253,Anouchka OLER,48.6551086,-1.9939189,artist,#3D348B
254,Willem OOREBEEK,51.9244424,4.47775,artist,#3D348B
255,Bill OWENS,37.3361663,-121.890591,artist,#3D348B
256,Gyan PANCHAL,48.8588897,2.320041,artist,#3D348B
257,Pierre PAULIN,45.1437,5.71927,artist,#3D348B
258,Manfred PERNICE,52.1521636,9.9513046,artist,#3D348B
259,Kirsten PIEROTH,50.1055002,8.7610698,artist,#3D348B
260,PIERRE LA POLICE,49.2480975,5.9370519,artist,#3D348B
261,Emilie PITOISET,48.8422182,2.5563749,artist,#3D348B
262,Henrik PLENGE JAKOBSEN,55.6867243,12.5700724,artist,#3D348B
263,Marie QUEAU,48.7630238,2.4093664,artist,#3D348B
264,Florian & Michaël QUISTREBERT,48.9146078,2.3821895,artist,#3D348B
265,Walid RAAD,33.8892265,35.5025585,artist,#3D348B
266,Loïc RAGUÉNÈS,47.2380222,6.0243622,artist,#3D348B
267,Lili REYNAUD DEWAR,46.1591126,-1.1520434,artist,#3D348B
268,Clément RODZIELSKI,43.9277552,2.147899,artist,#3D348B
269,Willem de ROOIJ,52.4876371,4.6603502,artist,#3D348B
270,Allen RUPPERSBERG,41.4996574,-81.6936772,artist,#3D348B
271,Anri SALA,41.3281482,19.8184435,artist,#3D348B
272,Bettina SAMSON,48.8588897,2.320041,artist,#3D348B
273,Yann SÉRANDOUR,47.6586772,-2.7599079,artist,#3D348B
274,SHIMABUKU,34.6932379,135.1943764,artist,#3D348B
275,Veit STRATMANN,51.4818111,7.2196635,artist,#3D348B
276,SUPERFLEX,55.6867243,12.5700724,artist,#3D348B
277,Céline VACHÉ-OLIVIERI,48.8588897,2.320041,artist,#3D348B
278,Tris VONNA-MICHELL,51.5388241,0.7128137,artist,#3D348B
279,Kelley WALKER,39.958316,-82.677831,artist,#3D348B
280,Mark WALLINGER,51.6228297,0.0805021,artist,#3D348B
281,Marijke van WARMERDAM,52.353353,4.9070318,artist,#3D348B
282,WE ARE THE PAINTERS,48.8588897,2.320041,artist,#3D348B
283,Johannes WOHNSEIFER,50.938361,6.959974,artist,#3D348B
284,Erwin WURM,47.4121987,15.2721668,artist,#3D348B
285,Raphaël ZARKA,43.6112422,3.8767337,artist,#3D348B
,,,,,
286,Amy BALKIN,37.7790262,-122.419906,artist,#3D348B
287,Dora GARCÍA,41.6521328,-4.728562,artist,#3D348B
288,GUERRILLA GIRLS,38.8950368,-77.0365427,artist,#3D348B
289,Joséphine KAEPPELIN,45.7578137,4.8320114,artist,#3D348B
290,Silvia KOLBOWSKI,-34.6075682,-58.4370894,artist,#3D348B
291,Jiri KOVANDA,50.0874654,14.4212535,artist,#3D348B
292,Jean-Christophe ROELENS,49.1196964,6.1763552,artist,#3D348B
293,Graciela SACCO,-33.326025,-62.0354768,artist,#3D348B
294,Katrin STRÖBEL,48.8908846,8.7029532,artist,#3D348B
295,Nil YALTER,30.0443879,31.2357257,artist,#3D348B
296,Michel AUBURTIN,43.7323492,7.4276832,artist,#F7B801
297,"Michèle BLONDEL (Michèle COLE, dite)",48.8588897,2.320041,artist,#F7B801
298,Julien DISCRIT,49.042561,3.9528655,artist,#F35B04
299,Liliana PORTER,-34.6075682,-58.4370894,artist,#F7B801
300,Paul RISCH,48.8172236,7.7885978,artist,#F7B801
301,Erwin TRUM,48.1371079,11.5753822,artist,#F7B801
