artist_id,artwork_id,title,date,domaine,medium,type,picture_path
68,1014,L'Heure du Goëmon,1966 - 1967,"Publication, livre, imprimé","Publication, livre, imprimé
Texte original de Charles Estienne en regard de 15 estampes tirées par l'artiste
Bois gravés sur papier Japon Kajitorinoko",ouvrage,images/1014.jpg
69,1015,88 MAPS,2010,"Publication, livre, imprimé","Publication, livre, imprimé
Emboîtage toilé orange, titre, mention d'édition et dessin original sérigraphiés en noir, contenant 36 planches dont 28 dessins estampés et numérotés
Sérigraphie couleur, crayon graphite frotté à la main sur papier Dur-O-Tone, Butcher Off-White Paper",ouvrage,images/1015.jpg
70,1016,All the Dead Stars,2012,"Publication, livre, imprimé, Plan",,ouvrage,images/1016.jpg
71,1017,Livre I was a Spy,2007,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
[64 pages] non reliées sous coffret toilé
Impression Epson Micro Piezo TFP avec encre UltraChrome K3 sur papier  300g Moab Legion Entrada Rag Natural",ouvrage,images/1017.jpg
71,1018,Livre Table settings,2009,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
[56 pages] non reliées sous coffret toilé
Impression Epson Micro Piezo TFP avec encre UltraChrome K3 sur papier  300g Moab Legion Entrada Rag Natural",ouvrage,images/1018.jpg
72,1019,Pistoletto,mars 1964,"Publication, livre, imprimé","Publication, livre, imprimé
[16 pages] agrafées, illustrations en noir et blanc, illustration centrale avec rabat
Offset noir et blanc",ouvrage,images/1019.jpg
73,1020,Fluxshoe,1972,"Publication, livre, imprimé","Publication, livre, imprimé
Carte postale
Impression couleur sur papier",ouvrage,images/1020.jpg
74,1021,Livre Poetrie 5 bis 1,automne 1969,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
220 pages, broché
Offset",ouvrage,images/1021.jpg
74,1022,Livre Daily Mirror,été 1970,"Publication, livre, imprimé, Livre",,ouvrage,images/1022.jpg
74,1023,Livre Snow,été 1970,"Publication, livre, imprimé, Livre","Publication, livre, imprimé, Livre
256 pages, broché
Offset",ouvrage,images/1023.jpg
